Circuits,Years_raced_on_circuit,No_of_years_raced_on_circuit,First_winner,Latest_winner,Fastest_lap_record_holder,Most_Wins,Grand_Prixs_Held,Longtitude,Latitude
Circuit_Zandvoort,1952-1953_1955_1958-1971_1973-1985_2021,28,Alberto_Ascari-Ferrari-1952,Max_Verstappen-Red_Bull_Racing-2021,Lewis_Hamilton-Mercedes-2021,Jim_Clark,Dutch_Grand_Prix,4.540922,52.388819
Spa-Francorchamps_Circuit,1950-1956_1958_1960-1968_1970_1983_1985-2002_2004-2005_2007-2021,67,Juan_Manuel_Fangio-Alfa_Romeo-1950,Max_Verstappen-Red_Bull_Racing-2021,Valtteri_Bottas-Mercedes-2018,Michael_Schumacher,Belgian_Grand_Prix,5.971389,50.437222
Losail_International_circuit,2021,1,Lewis_Hamilton-Mercedes-2021,Lewis_Hamilton-Mercedes-2021,Max_Verstappen-Red_Bull_Racing-2021,Lewis_Hamilton,Qatar_Grand_Prix,51.450339,25.487912
Autodromo_Nationale_Monza,1950-2021,71,Nino_Farina-Alfa_Romeo-1950,Daniel_Ricciardo-McLaren-2021,Rubens_Barrichello-Ferrari-2004,Lewis_Hamilton_&_Michael_Schumacher,Italian_Grand_Prix,9.289444,45.620556
Silverstone_Circuit,1950-1954_1956_1958_1960_1963_1965_1967_1969_1971_1973_1975_1977_1979_1981_1983_1985_1987-2021,55,Nino_Farina-Alfa_Romeo-1950,Lewis_Hamilton-Mercedes-2021,Max_Verstappen-Red_Bull_Racing-2020,Lewis_Hamilton,70th_Anniversary_Grand_Prix_&_British_Grand_Prix,-1.016944,52.078611
Monaco_Circuit,1950_1955-2019_2021,66,Juan_Manuel_Fangio-Alfa_Romeo-1950,Max_Verstappen-Red_Bull_Racing-2021,Lewis_Hamilton-Mercedes-2021,Ayrton_Senna,Monaco_Grand_Prix,7.420556,43.734722
Istanbul_Park,2005-2011_2020-2021,9,Kimi_Räikkönen-McLaren-2005,Valtteri_Bottas-Mercedes-2021,Juan_Pablo_Montoya-McLaren-2005,Felipe_Massa,Turkish_Grand_Prix,29.405,40.951667
Yas_Marina_Circuit,2009-2021,13,Sebastian_Vettel-Red_Bull_Racing-2009,Max_Verstappen-Red_Bull_Racing-2021,Sebastian_Vettel-Red_Bull_Racing-2009,Lewis_Hamilton,Abu_Dhabi_Grand_Prix,54.603056,24.467222
Sochi_autodrom,2014-2021,8,Lewis_Hamilton-Mercedes-2014,Lewis_Hamilton-Mercedes-2021,Kimi_Räikkönen-Ferrari-2017,Lewis_Hamilton,Russian_Grand_Prix,39.968271,43.410278
Red_Bull_Ring/Österreichring,1970-1987_1997-2003_2014-2021,33,Jacky_Ickx-Ferrari-1970,Max_Verstappen-Red_Bull_Racing-2021,Kimi Räikkönen-Ferrari-2018,Max_Verstappen_&_Alain_Prost,Austrian_Grand_Prix_&_Styrian_Grand_Prix,14.764722,47.219722
